"Story","Title","Result","Date","Stability","Duration (s)"
"Dia login story","Scenario1 login with blank client domain","SUCCESS","2016-05-23T17:02:34.149+07:00","0.0","26.55"
"Dia login story","Scenario2 login with blank password","SUCCESS","2016-05-23T17:03:00.699+07:00","0.0","27.09"
"Dia login story","Scenario3 login with blank username","SUCCESS","2016-05-23T17:03:27.789+07:00","0.0","35.07"
"Dia login story","Scenario4 login with wrong client domain","SUCCESS","2016-05-23T17:04:02.862+07:00","0.0","28.63"
"Dia login story","Scenario5 login with wrong password","SUCCESS","2016-05-23T17:04:31.496+07:00","0.0","29.18"
"Dia login story","Scenario6 login with wrong username","SUCCESS","2016-05-23T17:05:00.684+07:00","0.0","28.73"
"Dia login story","Scenario7 login with vaild credentials","SUCCESS","2016-05-23T17:05:29.421+07:00","0.0","26.47"
